puertos,x,y,id,nombre_puertos
Santa Rosa 1,-79.96270007,-3.45049995,1,TUMBES
Puerto Pizarro,-80.3905983,-3.4997675,2,TUMBES
Caleta La Cruz,-80.5882989,-3.6352488,3,TUMBES
Puerto Zorritos,-80.65833,-3.66667,4,TUMBES
Caleta Mero,-80.859921,-3.8957601,5,TUMBES
Mancora,-81.0657525,-4.11088372,6,TUMBES
Caleta Los Organos,-81.1350657,-4.1784038,7,TUMBES
Caleta Cabo Blanco,-81.23013207,-4.25197808,8,TUMBES
Caleta Lobitos,-81.2997794,-4.458929,9,PAITA
Puerto Talara,-81.2751281,-4.5723331,10,PAITA
Paita2,-81.1477778,-5.07888889,11,PAITA
PAITA,-81.1089,-5.0833,12,PAITA
Caleta San Pedro,-80.9,-5.51667,13,PAITA
Parachique2,-80.8777778,-5.675,14,PARACHIQUE
PARACHIQUE,-80.8732,-5.7666,15,PARACHIQUE
BAYOVAR1,-81.0542,-5.7933,16,PARACHIQUE
Parachique3,-81.0402778,-5.81916667,17,PARACHIQUE
Bayovar2,-81.0130448,-5.8285317,18,PARACHIQUE
Pimentel,-79.938191,-6.8369598,19,CHICAMA
SANTA ROSA 2,-79.923,-6.8833,20,CHICAMA
Puerto Eten,-79.8666557,-6.9341396,21,CHICAMA
Pacasmayo,-79.57,-7.398334,22,CHICAMA
CHICAMA,-79.4397,-7.6936,23,CHICAMA
Caleta Huanchaco,-79.1212337,-8.0789023,24,CHICAMA
Salaverry,-78.9813412,-8.2280746,25,CHICAMA
Puerto Santa,-78.6467965,-8.9827609,26,CHIMBOTE
COSHCO 1,-78.62191667,-9.01743333,27,CHIMBOTE
COSHCO2,-78.55718333,-9.01906667,28,CHIMBOTE
COIHSCO,-78.6233,-9.0199,29,CHIMBOTE
CHIMBOTE1,-78.611742,-9.0736994,30,CHIMBOTE
CHIMBOTE4,-78.58365,-9.07868333,31,CHIMBOTE
CHIMBOTE11,-78.55831667,-9.10626667,32,CHIMBOTE
CHIMBOTE31,-78.56435,-9.11941667,33,CHIMBOTE
SAMANCO,-78.4983,-9.255,34,SAMANCO
Caleta Tortugas,-78.40833,-9.36,35,SAMANCO
Casma1,-78.38167,-9.455,36,CASMA
Rio Seco,-78.225,-9.8,37,HUARMEY
CULEBRAS,-78.2333,-9.945,38,HUARMEY
HUARMEY1,-78.17350722,-10.09426667,39,HUARMEY
Puerto chico,-77.7689479,-10.7566265,40,HUARMEY
SUPE2,-77.7464,-10.8,41,SUPE
Caleta Vidal,-77.709489,-10.8525302,42,SUPE
Caleta Vegueta,-77.65,-11,43,VEGETA
CARQUIN,-77.6333,-11.085,44,HUACHO
HUACHO,-77.6161,-11.1228,45,HUACHO
Bahia Salinas,-77.61667,-11.17,46,HUACHO
CHANCAY,-77.2769,-11.5831,47,CHANCAY
CALLAO 1,-77.138103,-11.95764,48,CALLAO
CALLAO 2,-77.140271,-12.000251,49,CALLAO
CALLAO 3,-77.1467,-12.0453,50,CALLAO
Puerto Conchan,-76.9376652,-12.2506068,51,CALLAO
PUCUSANA,-76.7966,-12.4783,52,CALLAO
Puerto Viejo,-76.7048731,-12.5886246,53,CALLAO
Caleta Bujuma,-76.629586,-12.7226719,54,CALLAO
Puerto Fiel,-76.512573,-12.9043838,55,CALLAO
CERRO AZUL,-76.4833,-13.0233,56,TAMBO DE MORA
T. DE MORA,-76.1867,-13.455,57,TAMBO DE MORA
TAMBO DE MORA,-76.20166667,-13.47333333,58,TAMBO DE MORA
PISCO1,-76.22216328,-13.71099034,59,PISCO
PISCO5,-76.252329,-13.790365,60,PISCO
Puerto San Martin,-76.2908517,-13.8030645,61,PISCO
El Fornton,-76.24309996,-14.14619006,62,PISCO
Caleta y Punta Olleros,-75.735,-14.77833,63,PISCO
Puerto Caballas,-75.4955148,-14.9419809,64,PISCO
Puerto San Nicolﬂs,-75.255,-15.25,65,PISCO
SAN JUAN,-75.1538847,-15.3531792,66,PISCO
Puerto Lomas,-74.8481028,-15.5652302,67,PISCO
Caleta Tanaca,-74.4622926,-15.7268686,68,PISCO
Chala,-74.2460666,-15.8655088,69,PISCO
Caleta Puerto Viejo,-74.0251721,-15.9936109,70,PISCO
Atico 1,-73.6218707,-16.2308084,71,ATICO
ATICO 2,-73.6949,-16.2333,72,ATICO
Camana,-73.01832699,-16.35381293,73,LA PLANCHADA
La Planchada,-73.22528009,-16.41005997,74,LA PLANCHADA
Cal. La Chira,-73.0058,-16.4967,75,LA PLANCHADA
Quilca,-72.4192407,-16.7279485,76,QUILCA
Mollendo,-72.28540406,-16.77306604,77,MOLLENDO
Caleta Aranta,-72.32,-16.80333,78,MOLLENDO
MATARANI 1,-72.1067,-16.9978,79,MOLLENDO
matarani 2,-72.046,-17.0215,80,MOLLENDO
Caleta Mej›a,-71.90667,-17.105,81,MOLLENDO
ilo 1,-71.35602778,-17.57069444,82,ILO
ILO 2,-71.3496586,-17.6500527,83,ILO
ilo 3,-71.3734,-17.6772,84,ILO
Los Palos,-70.4592,-18.2633,85,ILO
